id,label
1,4
2,0
3,1
4,8
5,0
6,3
7,0
8,5
9,9
10,3
11,2
12,3
13,7
14,3
15,3
16,0
17,4
18,4
19,4
20,2
21,0
22,8
23,6
24,1
25,2
26,1
27,1
28,3
29,4
30,3
31,5
32,7
33,5
34,0
35,4
36,5
37,3
38,2
39,8
40,3
41,6
42,2
43,9
44,4
45,9
46,1
47,4
48,2
49,0
50,0
51,6
52,5
53,5
54,6
55,8
56,8
57,2
58,8
59,0
60,6
61,5
62,5
63,3
64,6
65,8
66,5
67,8
68,0
69,2
70,2
71,9
72,4
73,9
74,6
75,4
76,9
77,0
78,3
79,7
80,3
81,6
82,4
83,0
84,4
85,4
86,6
87,5
88,2
89,6
90,0
91,9
92,0
93,6
94,7
95,1
96,6
97,3
98,2
99,9
100,2
101,4
102,4
103,7
104,3
105,8
106,2
107,1
108,4
109,6
110,6
111,7
112,5
113,4
114,0
115,9
116,7
117,5
118,7
119,3
120,3
121,0
122,9
123,7
124,3
125,8
126,3
127,6
128,3
129,0
130,5
131,0
132,4
133,3
134,1
135,3
136,3
137,4
138,6
139,5
140,1
141,3
142,5
143,9
144,4
145,7
146,1
147,9
148,1
149,4
150,6
151,8
152,5
153,5
154,9
155,9
156,7
157,2
158,8
159,6
160,4
161,3
162,5
163,6
164,3
165,6
166,8
167,6
168,3
169,5
170,3
171,3
172,6
173,3
174,6
175,2
176,0
177,3
178,1
179,2
180,1
181,6
182,9
183,4
184,6
185,8
186,4
187,8
188,9
189,3
190,2
191,1
192,8
193,0
194,3
195,9
196,2
197,1
198,3
199,8
200,4
201,8
202,3
203,0
204,3
205,0
206,2
207,3
208,4
209,3
210,4
211,1
212,7
213,5
214,6
215,3
216,9
217,5
218,0
219,4
220,9
221,6
222,6
223,5
224,4
225,8
226,2
227,7
228,5
229,7
230,7
231,8
232,4
233,3
234,3
235,7
236,6
237,4
238,4
239,9
240,0
241,3
242,3
243,2
244,5
245,4
246,4
247,2
248,9
249,7
250,8
251,3
252,8
253,6
254,9
255,5
256,6
257,6
258,8
259,4
260,0
261,5
262,1
263,7
264,7
265,6
266,2
267,3
268,2
269,2
270,1
271,5
272,0
273,5
274,3
275,7
276,6
277,6
278,7
279,5
280,3
281,5
282,4
283,3
284,3
285,4
286,1
287,8
288,9
289,3
290,4
291,1
292,4
293,0
294,3
295,8
296,2
297,6
298,3
299,8
300,9
301,5
302,2
303,6
304,2
305,6
306,1
307,0
308,7
309,6
310,4
311,1
312,8
313,4
314,9
315,5
316,3
317,8
318,4
319,5
320,6
321,7
322,7
323,8
324,5
325,7
326,8
327,3
328,5
329,4
330,9
331,2
332,8
333,2
334,2
335,4
336,4
337,5
338,9
339,2
340,8
341,8
342,6
343,2
344,2
345,8
346,2
347,1
348,3
349,3
350,9
351,5
352,9
353,2
354,3
355,0
356,3
357,2
358,6
359,0
360,6
361,7
362,0
363,0
364,2
365,6
366,4
367,3
368,3
369,0
370,4
371,6
372,5
373,7
374,0
375,9
376,0
377,6
378,6
379,1
380,5
381,1
382,0
383,0
384,8
385,4
386,3
387,8
388,7
389,5
390,5
391,6
392,6
393,2
394,6
395,6
396,6
397,6
398,4
399,3
400,4
401,1
402,4
403,4
404,9
405,4
406,0
407,1
408,9
409,2
410,2
411,7
412,4
413,6
414,0
415,5
416,6
417,4
418,4
419,2
420,5
421,6
422,1
423,3
424,4
425,0
426,8
427,3
428,3
429,1
430,6
431,2
432,6
433,2
434,0
435,9
436,4
437,1
438,9
439,1
440,4
441,3
442,0
443,7
444,3
445,8
446,5
447,7
448,6
449,0
450,0
451,5
452,6
453,0
454,0
455,7
456,2
457,4
458,3
459,2
460,9
461,6
462,9
463,7
464,6
465,8
466,0
467,4
468,2
469,3
470,2
471,7
472,8
473,6
474,0
475,2
476,5
477,9
478,7
479,2
480,3
481,5
482,8
483,3
484,8
485,5
486,0
487,6
488,7
489,8
490,0
491,1
492,3
493,6
494,4
495,1
496,7
497,9
498,6
499,6
500,0
501,8
502,5
503,2
504,6
505,4
506,5
507,3
508,6
509,5
510,9
511,5
512,1
513,6
514,4
515,0
516,4
517,8
518,8
519,8
520,1
521,3
522,5
523,7
524,9
525,6
526,4
527,0
528,5
529,6
530,0
531,3
532,4
533,2
534,3
535,7
536,5
537,0
538,4
539,9
540,9
541,0
542,3
543,2
544,5
545,3
546,4
547,3
548,7
549,5
550,7
551,4
552,3
553,7
554,3
555,6
556,3
557,3
558,8
559,6
560,2
561,1
562,3
563,6
564,3
565,8
566,0
567,2
568,3
569,3
570,7
571,8
572,6
573,5
574,8
575,4
576,2
577,3
578,6
579,8
580,4
581,6
582,6
583,9
584,8
585,1
586,5
587,4
588,0
589,0
590,4
591,7
592,4
593,9
594,7
595,6
596,8
597,5
598,9
599,3
600,4
601,5
602,4
603,4
604,3
605,9
606,3
607,2
608,3
609,7
610,9
611,4
612,3
613,1
614,8
615,3
616,4
617,1
618,4
619,7
620,4
621,6
622,5
623,3
624,8
625,2
626,9
627,8
628,7
629,5
630,3
631,0
632,4
633,9
634,7
635,7
636,8
637,2
638,6
639,0
640,3
641,2
642,6
643,6
644,0
645,3
646,1
647,3
648,2
649,6
650,0
651,3
652,9
653,3
654,5
655,4
656,6
657,3
658,2
659,3
660,6
661,5
662,8
663,8
664,0
665,1
666,8
667,7
668,1
669,6
670,9
671,3
672,3
673,6
674,0
675,7
676,7
677,3
678,1
679,3
680,9
681,3
682,3
683,0
684,7
685,5
686,7
687,5
688,6
689,4
690,2
691,3
692,0
693,4
694,9
695,1
696,6
697,3
698,1
699,8
700,6
701,7
702,5
703,9
704,5
705,4
706,3
707,6
708,3
709,2
710,4
711,6
712,1
713,5
714,4
715,4
716,8
717,2
718,4
719,7
720,5
721,9
722,3
723,5
724,5
725,0
726,2
727,3
728,4
729,8
730,3
731,8
732,3
733,9
734,4
735,4
736,1
737,6
738,3
739,5
740,2
741,2
742,5
743,0
744,3
745,2
746,4
747,4
748,3
749,5
750,2
751,1
752,8
753,2
754,4
755,5
756,1
757,5
758,4
759,4
760,1
761,6
762,4
763,4
764,5
765,0
766,8
